SYMBOL,COMPANY,COUNTRY,EXCHANGE
NIRAVCOM.BO,Nirav Commercials Ltd,India,Bombay Stock Exchange
NAF.DE,Noranda Aluminum Holding Corp,Germany,XETRA Stock Exchange
NOR,Noranda Aluminum Holding Corp.,United States of America,
NHY.L,Norsk Hydro ASA,United Kingdom,London Stock Exchange
NOH1.DE,Norsk Hydro ASA,Germany,XETRA Stock Exchange
NOHA.DE,Norsk Hydro ASA,Germany,XETRA Stock Exchange
1220.HK,"Ocean Grand Holdings, Ltd.",Hong Kong,Hong Kong Stock Exchange
ORT.TO,Orbite Aluminae Inc,Canada,Toronto Stock Exchange
PGFOILQ.BO,PG Foils Ltd,India,Bombay Stock Exchange
RRP.AX,Realm Resources Ltd,Australia,Australian Stock Exchange
SACHEMT.BO,Sacheta Metals Ltd,India,Bombay Stock Exchange
5SN.DE,Soon Lian Holdings Ltd,Germany,XETRA Stock Exchange
SUDAI.BO,Sudal Industries Ltd,India,Bombay Stock Exchange
SYNTHFO.BO,Synthiko Foils Ltd,India,Bombay Stock Exchange
R6L.DE,United Co Rusal PLC,Germany,XETRA Stock Exchange
R6L1.DE,United Co Rusal PLC,Germany,XETRA Stock Exchange
RUSAL.PA,United Co Rusal PLC,France,Paris Stock Exchange
0486.HK,United Company Rusal PLC,Hong Kong,Hong Kong Stock Exchange
MN5.SI,XinRen Aluminum Holdings Ltd,Singapore,Singapore Stock Exchange
A7Z.DE,A E C I Ltd,Germany,XETRA Stock Exchange
SHLM,"A. Schulman, Inc.",United States of America,
AARTIIND.NS,Aarti Industries Ltd,India,National Stock Exchange of India
ARTIIND.BO,Aarti Industries Ltd,India,Bombay Stock Exchange
ACET,Aceto Corp.,United States of America,
ABCIL.BO,Aditya Birla Chemicals,India,Bombay Stock Exchange
ABCIL.NS,Aditya Birla Chemicals,India,National Stock Exchange of India
ADVPETR-B.BO,Advance Petrochemicals Ltd.,India,Bombay Stock Exchange
IZ8A.DE,African Oxygen Ltd,Germany,XETRA Stock Exchange
AI.PA,Air Liquide SA,France,Paris Stock Exchange
AIL.DE,Air Liquide SA,Germany,XETRA Stock Exchange
AP3.DE,Air Products & Chemicals Inc,Germany,XETRA Stock Exchange
APD,Air Products & Chemicals Inc.,United States of America,
AAS.DE,Airgas Inc,Germany,XETRA Stock Exchange
ARG,"Airgas, Inc.",United States of America,
AKSCHEM.BO,AksharChem (India) Ltd,India,Bombay Stock Exchange
ALUFLUOR.BO,Alufluoride Ltd,India,Bombay Stock Exchange
AFPW,AlumiFuel Power Corp.,United States of America,
AMNPLST.BO,Amines & Plasticizers Ltd,India,Bombay Stock Exchange
MF5.SI,Anchun International,Singapore,Singapore Stock Exchange
ANDHRAPE.BO,Andhra Petrochemicals Ltd,India,Bombay Stock Exchange
ANDHRASUGAR.BO,Andhra Sugars Ltd,India,Bombay Stock Exchange
ANDHRSUGA.NS,Andhra Sugars Ltd,India,National Stock Exchange of India
ANO.AX,Antaria Ltd,Australia,Australian Stock Exchange
BBJ.DE,Antaria Ltd,Germany,XETRA Stock Exchange
SHCHOLC.BO,Archit Organosys Ltd,India,Bombay Stock Exchange
ASV.DE,Argex Titanium Inc,Germany,XETRA Stock Exchange
AKE.PA,Arkema,France,Paris Stock Exchange
AKENV.PA,Arkema,France,Paris Stock Exchange
V1S.DE,Arkema,Germany,XETRA Stock Exchange
ASAA.DE,Asahi Kasei Corp,Germany,XETRA Stock Exchange
ASAHISONG.NS,Asahi Songwon Colors Ltd,India,National Stock Exchange of India
ASCL.BO,Asahi Songwon Colors Ltd,India,Bombay Stock Exchange
A1H.DE,Ashland Inc,Germany,XETRA Stock Exchange
ASH,Ashland Inc.,United States of America,
ASHOKALC.BO,Ashok Alcochem Ltd,India,Bombay Stock Exchange
ASINPET.BO,Asian Petroproducts,India,Bombay Stock Exchange
ASTEC.BO,Astec Lifesciences Ltd,India,Bombay Stock Exchange
ASTEC.NS,Astec Lifesciences Ltd,India,National Stock Exchange of India
ATUL.NS,Atul Ltd,India,National Stock Exchange of India
ATULLTD.BO,Atul Ltd,India,Bombay Stock Exchange
AVONORG.BO,Avon Organics Ltd,India,Bombay Stock Exchange
HGQN.DE,Axiall Corp,Germany,XETRA Stock Exchange
BHM.DE,Bachem Holding AG,Germany,XETRA Stock Exchange
BCPC,Balchem Corp.,United States of America,
OB8.DE,Barito Pacific Tbk,Germany,XETRA Stock Exchange
BASF.BO,BASF India Ltd,India,Bombay Stock Exchange
BASF.NS,BASF India Ltd,India,National Stock Exchange of India
BAS.DE,Basf SE,Germany,XETRA Stock Exchange
BASA.DE,Basf SE,Germany,XETRA Stock Exchange
BASF.MI,Basf SE,Italy,Milan Stock Exchange
BFA.L,Basf SE,United Kingdom,London Stock Exchange
BHAGGAS.BO,Bhagawati Gas Ltd,India,Bombay Stock Exchange
BEPL.BO,Bhansali Eng Polymers,India,Bombay Stock Exchange
BEPL.NS,Bhansali Eng Polymers,India,National Stock Exchange of India
BIOA,BioAmber Inc.,United States of America,
BIOAF,BioAmber Inc.,United States of America,
BOE.MI,Boero Bartolomeo,Italy,Milan Stock Exchange
BAK,Braskem S.A.,United States of America,
BAZA45.SA,Braskem SA,Brazil,BOVESPA - Sao Paolo Stock Exchange
BAZA46.SA,Braskem SA,Brazil,BOVESPA - Sao Paolo Stock Exchange
BRD.DE,Braskem SA,Germany,XETRA Stock Exchange
BRDA.DE,Braskem SA,Germany,XETRA Stock Exchange
CAMPHOR.BO,Camphor & Allied Products Ltd,India,Bombay Stock Exchange
CAMB.BR,Campine,United States of America,
CARC.BA,Carboclor SA,Argentina,Buenos Aires Stock Exchange
DG3.DE,Celanese Corp,Germany,XETRA Stock Exchange
CE,Celanese Corporation,United States of America,
CERPQ,"Cereplast, Inc.",United States of America,
8208.HK,Changmao Biochemical,Hong Kong,Hong Kong Stock Exchange
SQM,Chemical & Mining Co. of Chile,United States of America,
C05.SI,Chemical Industries (F.E),Singapore,Singapore Stock Exchange
CHRR.L,China Rerun Chemical Group Ltd,United Kingdom,London Stock Exchange
